;id;article;ean_13;name;cost;recommended_price;category_id;ozon_name;name_1c;wb_name;ozon_article;wb_article;ym_article;wb_article_td
0;245;008-1;4680008140234.0;Антисептик невымываемыйPROSEPT ULTRAконцентрат 1:10  / 1 л;360.0;858.0;20.0;Антисептик невымываемый для ответственных конструкций PROSEPT ULTRA, концентрат, 1 л.;Антисептик невымываемый для ответственных конструкций PROSEPT ULTRA, концентрат, 1 л.;Антисептик невымываемый для ответственных конструкций PROSEPT ULTRA, концентрат, 1 л.;189522705.0;150033482.0;008-1;
1;3;242-12;;Антигололед - 32 PROSEPTготовый состав / 12 кг;460.16;1075.0;;;Антигололед - 32 PROSEPTготовый состав / 12 кг;;;;;
2;443;0024-06 с;4680008145208.0;Герметик акриловый цвет сосна, ф/п 600мл;307.0;644.0;25.0;Герметик акриловый для швов для деревянных домов, конструкций, изделий PROSEPT цвет сосна, ф/п 600мл;Герметик акриловый цвет сосна, ф/п 600мл;Герметик акриловый для швов для деревянных домов, конструкций, изделий PROSEPT цвет сосна, ф/п 600мл;189522735.0;150126217.0;0024-06-с;
3;147;305-2;4610093420164.0;Кондиционер для белья с ароматом  королевского ИрисаCrystal Rinserконцентрат / 2 л ;157.73;342.0;29.0;"Кондиционер для белья ""Королевский Ирис"" Prosept Crystal Rinser, 2 л.";"Кондиционер для белья ""Королевский Ирис"" Prosept Crystal Rinser, 2 л.";"Кондиционер для белья ""Королевский Ирис"" Prosept Crystal Rinser, 2 л.";339377922.0;150032962.0;305-2;
4;502;0024-7 б;;Герметик акриловой  цвет Белый, 7 кг;;;;;;;189522867.0;150126216.0;0024-7-б;
5;220;051-6;4610093420607.0;Грунт БЕТОНКОНТАКТготовый состав / 6 кг;703.0;1339.0;26.0;Грунт бетоноконтакт, для гладких поверхностей перед нанесением штукатурок, шпатлевок и плиточного клея, готовый состав, 6 кг;Грунт бетоноконтакт, для гладких поверхностей перед нанесением штукатурок, шпатлевок и плиточного клея, готовый состав, 6 кг;Грунт бетоноконтакт, для гладких поверхностей перед нанесением штукатурок, шпатлевок и плиточного клея, готовый состав, 6 кг;453193200.0;149699633.0;051-6;
6;385;051-10;4680008147998.0;Грунт БЕТОНКОНТАКТготовый состав / 12 кг;1111.0;2505.0;26.0;Грунт бетоноконтакт, для гладких поверхностей перед нанесением штукатурок, шпатлевок и плиточного клея, готовый состав, 12 кг;Грунт бетоноконтакт, для гладких поверхностей перед нанесением штукатурок, шпатлевок и плиточного клея, готовый состав, 12 кг;Грунт бетоноконтакт, для гладких поверхностей перед нанесением штукатурок, шпатлевок и плиточного клея, готовый состав, 12 кг;189522783.0;149699627.0;051-10;
7;114;125-5;4680008141842.0;Средство для удаления технических масел, смазочных материалов и нефтепродуктовDuty Oil концентрат 1:20-1:150 /  5 л;711.82;1663.0;35.0;Средство для удаления технических масел, смазочных материалов и нефтепродуктов PROSEPT Duty Oil, 5 л.;Средство для удаления технических масел, смазочных материалов и нефтепродуктов PROSEPT Duty Oil, 5 л.;Средство для удаления технических масел, смазочных материалов и нефтепродуктов PROSEPT Duty Oil, 5 л.;189522869.0;149992148.0;125-5;
8;505;СФ001-5;4610093421024.0;Антисептик универсальный суперсильный;200.0;510.0;20.0;Антисептик универсальный суперсильный;Антисептик универсальный суперсильный;Антисептик универсальный суперсильный;;;;
9;32;100-1;4680008141705.0;Средство для мытья светлых полов с отбеливающим эффектомMultipower Whiteконцентрат 1:20-1:200 / 1 л;132.72;311.0;40.0;Профессиональное средство для мытья светлых полов с отбеливающим эффектом PROSEPT Multipower White, 1 л.;Профессиональное средство для мытья светлых полов с отбеливающим эффектом PROSEPT Multipower White, 1 л.;Профессиональное средство для мытья светлых полов с отбеливающим эффектом PROSEPT Multipower White, 1 л.;451088021.0;149705841.0;100-1;
